Lake,Day,Control,N,P,NP
Windermere_North,0,0,0,0,0
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.003,0.002,0.002,0.003
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.003,0.002
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,7,0.002,0.002,0.002,0.003
Windermere_North,7,0.002,0.002,0.002,0.003
Windermere_North,7,0.002,0.002,0.002,0.002
Windermere_North,14,0.003,0.002,0.006,0.006
Windermere_North,14,0.002,0.003,0.006,0.004
Windermere_North,14,0.002,0.002,0.007,0.004
Windermere_North,14,0.002,0.002,0.003,0.005
Windermere_North,14,0.002,0.002,0.004,0.005
Windermere_North,14,0.003,0.003,0.005,0.003
Windermere_North,14,0.002,0.002,0.004,0.003
Windermere_North,14,0.002,0.002,0.005,0.005
Windermere_North,14,0.002,0.002,0.004,0.004
Windermere_North,14,0.002,0.003,0.007,0.003
Windermere_North,14,0.002,0.002,0.004,0.005
Windermere_North,14,0.002,0.002,0.004,0.004
Windermere_North,21,0.002,0.002,0.011,0.011
Windermere_North,21,0.003,0.002,0.012,0.011
Windermere_North,21,0.003,0.002,0.014,0.011
Windermere_North,21,0.003,0.003,0.01,0.012
Windermere_North,21,0.002,0.003,0.01,0.013
Windermere_North,21,0.002,0.002,0.012,0.011
Windermere_North,21,0.002,0.003,0.01,0.011
Windermere_North,21,0.002,0.002,0.011,0.012
Windermere_North,21,0.003,0.003,0.012,0.012
Windermere_North,21,0.002,0.002,0.01,0.011
Windermere_North,21,0.002,0.002,0.011,0.01
Windermere_North,21,0.003,0.002,0.011,0.012
Windermere_South,0,0,0,0,0
Windermere_South,7,0.003,0.002,0.002,0.004
Windermere_South,7,0.003,0.002,0.003,0.002
Windermere_South,7,0.002,0.002,0.002,0.002
Windermere_South,7,0.002,0.002,0.002,0.002
Windermere_South,7,0.002,0.003,0.002,0.003
Windermere_South,7,0.003,0.002,0.002,0.004
Windermere_South,7,0.002,0.002,0.004,0.002
Windermere_South,7,0.002,0.002,0.002,0.002
Windermere_South,7,0.002,0.002,0.002,0.002
Windermere_South,7,0.003,0.003,0.002,0.002
Windermere_South,7,0.003,0.002,0.004,0.003
Windermere_South,7,0.002,0.002,0.005,0.002
Windermere_South,14,0.002,0.002,0.008,0.007
Windermere_South,14,0.002,0.002,0.009,0.008
Windermere_South,14,0.002,0.003,0.006,0.006
Windermere_South,14,0.002,0.006,0.005,0.008
Windermere_South,14,0.002,0.002,0.004,0.005
Windermere_South,14,0.003,0.002,0.007,0.006
Windermere_South,14,0.002,0.002,0.008,0.005
Windermere_South,14,0.002,0.004,0.009,0.005
Windermere_South,14,0.002,0.002,0.007,0.006
Windermere_South,14,0.003,0.002,0.008,0.007
Windermere_South,14,0.003,0.002,0.006,0.007
Windermere_South,14,0.002,0.002,0.008,0.006
Windermere_South,21,0.003,0.002,0.018,0.016
Windermere_South,21,0.002,0.003,0.016,0.018
Windermere_South,21,0.002,0.004,0.014,0.013
Windermere_South,21,0.002,0.006,0.012,0.017
Windermere_South,21,0.002,0.002,0.014,0.017
Windermere_South,21,0.004,0.002,0.016,0.015
Windermere_South,21,0.002,0.002,0.014,0.016
Windermere_South,21,0.002,0.004,0.013,0.015
Windermere_South,21,0.002,0.003,0.013,0.012
Windermere_South,21,0.003,0.002,0.013,0.013
Windermere_South,21,0.003,0.002,0.014,0.014
Windermere_South,21,0.003,0.002,0.015,0.014
Esthwaite,0,0,0,0,0
Esthwaite,7,0.002,0.002,0.004,0.004
Esthwaite,7,0.003,0.004,0.003,0.003
Esthwaite,7,0.004,0.002,0.003,0.003
Esthwaite,7,0.002,0.003,0.002,0.004
Esthwaite,7,0.005,0.004,0.003,0.004
Esthwaite,7,0.002,0.002,0.002,0.004
Esthwaite,7,0.004,0.002,0.004,0.002
Esthwaite,7,0.004,0.004,0.004,0.003
Esthwaite,7,0.002,0.003,0.002,0.004
Esthwaite,7,0.003,0.005,0.003,0.003
Esthwaite,7,0.002,0.003,0.002,0.004
Esthwaite,7,0.003,0.004,0.005,0.002
Esthwaite,14,0.005,0.006,0.008,0.007
Esthwaite,14,0.007,0.008,0.009,0.007
Esthwaite,14,0.006,0.008,0.008,0.006
Esthwaite,14,0.007,0.009,0.009,0.009
Esthwaite,14,0.009,0.01,0.008,0.01
Esthwaite,14,0.008,0.009,0.007,0.006
Esthwaite,14,0.008,0.007,0.007,0.009
Esthwaite,14,0.006,0.008,0.007,0.005
Esthwaite,14,0.005,0.008,0.006,0.005
Esthwaite,14,0.006,0.005,0.008,0.007
Esthwaite,14,0.006,0.006,0.006,0.005
Esthwaite,14,0.006,0.007,0.009,0.006
Esthwaite,21,0.018,0.018,0.019,0.019
Esthwaite,21,0.019,0.02,0.019,0.018
Esthwaite,21,0.011,0.015,0.018,0.02
Esthwaite,21,0.019,0.017,0.018,0.017
Esthwaite,21,0.018,0.016,0.019,0.017
Esthwaite,21,0.017,0.016,0.016,0.015
Esthwaite,21,0.019,0.016,0.019,0.017
Esthwaite,21,0.019,0.013,0.019,0.015
Esthwaite,21,0.02,0.018,0.018,0.016
Esthwaite,21,0.02,0.019,0.02,0.02
Esthwaite,21,0.02,0.02,0.018,0.018
Esthwaite,21,0.019,0.019,0.018,0.018
Elterwater,0,0,0,0,0
Elterwater,7,0.004,0.004,0.006,0.004
Elterwater,7,0.005,0.004,0.005,0.004
Elterwater,7,0.004,0.003,0.006,0.004
Elterwater,7,0.004,0.004,0.003,0.005
Elterwater,7,0.006,0.004,0.003,0.003
Elterwater,7,0.004,0.005,0.004,0.004
Elterwater,7,0.005,0.005,0.006,0.003
Elterwater,7,0.005,0.004,0.005,0.006
Elterwater,7,0.005,0.003,0.004,0.005
Elterwater,7,0.004,0.004,0.004,0.006
Elterwater,7,0.006,0.006,0.004,0.005
Elterwater,7,0.005,0.005,0.004,0.005
Elterwater,14,0.01,0.013,0.012,0.012
Elterwater,14,0.012,0.011,0.012,0.011
Elterwater,14,0.011,0.012,0.011,0.011
Elterwater,14,0.01,0.012,0.012,0.011
Elterwater,14,0.009,0.013,0.01,0.01
Elterwater,14,0.01,0.011,0.01,0.013
Elterwater,14,0.011,0.01,0.011,0.012
Elterwater,14,0.011,0.011,0.01,0.01
Elterwater,14,0.009,0.012,0.011,0.01
Elterwater,14,0.012,0.01,0.012,0.012
Elterwater,14,0.012,0.011,0.011,0.011
Elterwater,14,0.011,0.012,0.012,0.01
Elterwater,21,0.027,0.024,0.028,0.026
Elterwater,21,0.027,0.027,0.02,0.025
Elterwater,21,0.019,0.025,0.024,0.026
Elterwater,21,0.022,0.027,0.026,0.025
Elterwater,21,0.024,0.023,0.023,0.026
Elterwater,21,0.023,0.023,0.024,0.024
Elterwater,21,0.02,0.027,0.027,0.026
Elterwater,21,0.022,0.026,0.026,0.026
Elterwater,21,0.027,0.023,0.026,0.025
Elterwater,21,0.024,0.025,0.027,0.025
Elterwater,21,0.026,0.024,0.024,0.025
Elterwater,21,0.025,0.024,0.023,0.026